function,description
FASTQ 质控、接头及低质量序列修剪、UMI 提取等,对高通量测序生成的原始 FASTQ 数据进行质量检查、接头序列自动识别与切除、低质量碱基滑动窗口修剪以及分子标签（UMI）提取，生成可直接用于比对的高质量数据及质控报告。
测序数据质量评估,对 FASTQ 格式的原始或预处理后测序 Reads 进行全方位的质量指标评估，包括碱基质量得分分布、GC 含量百分比、Reads 长度分布、接头污染比例、重复序列比例等，生成可视化 HTML 报告和 ZIP 格式数据。
10x 单细胞 RNA-seq 比对、定量和细胞识别,针对 10x Genomics 单细胞转录组测序数据，进行 Cell Barcode 拆分与校正、UMI 计数、Reads 到参考基因组的比对、基因水平定量、有效细胞识别以及初步的降维聚类和可视化。
去除测序接头和低质量序列,自动识别并切除测序 Reads 3' 端或 5' 端的接头序列，过滤低质量碱基（如 Phred quality score < 20）以及过短的 Reads，改善测序数据整体质量。
去除 rRNA，并进行基因组和转录组比对,针对 RNA-seq 数据，去除核糖体 RNA（rRNA）污染 Reads，并将 Reads 比对到参考基因组以及已知转录组，同时识别剪接位点（Splice Junctions），输出基因组/转录组比对 BAM 文件。
DNA reads 参考基因组比对,将 DNA 测序（如 WES/WGS）产生的短 Reads 高效且精准地比对到参考基因组（如 hg19/hg38），支持局部重比对与 Gap 比对，生成 SAM/BAM 格式的比对结果。
SAM/BAM 排序、fixmate、去重、索引及统计,对比对生成的 SAM/BAM 文件按基因组坐标排序、修正配对 Reads 信息、标记或去除 PCR 重复、生成 BAI 索引文件并输出比对覆盖度与比对率等统计报告。
FASTQ 转 uBAM、重复标记、BQSR、Mutect2 体细胞变异检测和过滤,遵循 GATK Best Practices 流程，包含无比对 BAM 转换、PCR/Optical 标记重复、碱基质量重校准（BQSR）、Mutect2 体细胞 SNV/InDel 变异检测以及滤波打分（FilterMutectCalls），输出高质量体细胞变异 VCF 文件。
VCF 索引、过滤、标准化和统计,对变异检测产生的 VCF 文件进行排序、压缩、构建 Tabix 索引，根据覆盖深度、变异频率（VAF）、质量值等指标进行多条件过滤、MNV/InDel 规范化拆分以及变异类型与分布统计。
变异功能注释,将 VCF 中的变异位点与参考基因组注释数据库比对，预测变异对基因结构和蛋白翻译的影响（如错义突变、无义突变、剪接位点改变等），计算变异在转录本中的影响等级。
基因和转录本表达定量,利用 Expectation-Maximization（EM）算法对比对到转录组的 RNA-seq Reads 进行表达量估计，准确解决多重比对 Reads 的归属问题，同时输出基因和转录本（Isoform）水平的 Expected Counts、TPM 和 FPKM。
根据基因注释进行基因水平计数,根据基因组比对 BAM 文件和 GTF/GFF3 基因注释文件，统计重叠在基因外显子区域上的 Reads 数量，输出可用于差异表达分析的 Raw Gene Count 矩阵。
汇总多个工具的质控结果,"自动扫描并解析多种上游生信工具（如 FastQC, STAR, BWA, SAMtools, GATK 等）生成的质控日志和报告文件，将散乱的质控数据整合为单个交互式 HTML 综合报告。"
两组样本差异表达分析,基于线性模型和经验贝叶斯（Empirical Bayes）方法，对经过归一化处理的基因表达矩阵进行两组或多组间统计检验，计算 log2FoldChange、p-value 及 FDR（adj.p.val），筛选差异表达基因（DEGs）。
GO 富集及基因 ID 转换辅助,"基于 Gene Ontology（BP, CC, MF）数据库对目标基因列表进行超几何分布检验或 GSEA 富集分析，并支持不同基因标识符（如 Entrez ID, Symbol, Ensembl ID）之间的转换与映射。"
Reactome 通路富集分析,将候选基因集映射到 Reactome 信号通路数据库，进行统计学显著性富集检验，识别显著被激活或抑制的生物学反应通路及分子互作网络。
