identity,labels,function,description
catalog_function:BAM处理与排序,CatalogFunction|catalog_function,BAM处理与排序,
catalog_function:FASTQ转uBAM,CatalogFunction|catalog_function,FASTQ转uBAM,
catalog_function:HER2 表达与无进展生存期分析,catalog_function,HER2 表达与无进展生存期分析,基于 TPM 表达矩阵、临床信息及样本元信息，分析特定基因（默认 HER2）表达水平与无进展生存期（PFS）的关联。流程自动匹配样本 accession，执行 Winsorizing 处理，生成 KM 生存曲线、Logrank 统计量及质量控制报告。
catalog_function:RNA-seq FASTQ 完整上游分析,CatalogFunction|catalog_function,RNA-seq FASTQ 完整上游分析,
catalog_function:RNA-seq 无监督聚类分析流程,catalog_function,RNA-seq 无监督聚类分析流程,本流程针对 RNA-seq count 矩阵进行无监督聚类分析，涵盖数据预处理、高变基因筛选、PCA 降维及高斯混合模型聚类。同时通过 Bootstrap 重采样评估聚类稳定性并计算显著性 P 值，适用于无样本元数据场景的探索性分析。
catalog_function:RNA剪接比对,CatalogFunction|catalog_function,RNA剪接比对,
catalog_function:RNA接头修剪,CatalogFunction|catalog_function,RNA接头修剪,
catalog_function:TMB与生存分析,CatalogFunction|catalog_function,TMB与生存分析,
catalog_function:VCF过滤与标准化,CatalogFunction|catalog_function,VCF过滤与标准化,
catalog_function:WES 体细胞突变 MAF 景观分析流程,catalog_function,WES 体细胞突变 MAF 景观分析流程,本流程用于全外显子测序（WES）队列的体细胞突变景观分析。输入标准 MAF 文件，经过滤处理后绘制 Top N 突变基因 Oncoplot 及突变类型分布图。适用于癌症基因组学中的突变谱可视化与总结。
catalog_function:WGCNA 加权基因共表达网络分析,catalog_function,WGCNA 加权基因共表达网络分析,基于基因表达矩阵和临床表型数据执行 WGCNA 共表达网络分析，包括样本 QC、模块识别、模块 - 性状关联、hub 基因筛选及 bootstrap 稳定性评估。适用于转录组数据的系统性分析，输出模块划分结果、关键 hub 基因列表及功能富集分析结果。
catalog_function:免疫浸润估计,CatalogFunction|catalog_function,免疫浸润估计,
catalog_function:免疫浸润分析 (IOBR CIBERSORT),catalog_function,免疫浸润分析 (IOBR CIBERSORT),基于 IOBR 包的 CIBERSORT 算法进行免疫细胞浸润分析流程。输入基因表达 TPM 矩阵、临床信息和样本元数据，输出免疫细胞比例估计、可靠性评估及可视化图表。适用于批量 RNA-seq 数据的肿瘤微环境免疫细胞组成分析。
catalog_function:加权共表达网络,CatalogFunction|catalog_function,加权共表达网络,
catalog_function:双端 FASTQ 转未比对 BAM,catalog_function,双端 FASTQ 转未比对 BAM,将双端 FASTQ 测序数据转换为未比对的 BAM 文件 (uBAM)，并添加完整的 Read Group 信息。适用于 GATK 最佳实践流程的起始步骤，输出可用于后续变异检测流程的标准化 BAM 文件。
catalog_function:变异功能注释,CatalogFunction|catalog_function,变异功能注释,
catalog_function:变异检测与校正,CatalogFunction|catalog_function,变异检测与校正,
catalog_function:基因定量,CatalogFunction|catalog_function,基因定量,
catalog_function:基因水平计数,CatalogFunction|catalog_function,基因水平计数,
catalog_function:差异表达与 GO 富集分析,catalog_function,差异表达与 GO 富集分析,基于表达矩阵进行差异基因分析（limma）并针对上下调基因分别进行 GO 功能富集（clusterProfiler）。适用于 FPKM/TPM 定量数据的两组比较场景，输出差异基因列表及 GO 富集结果表。
catalog_function:差异表达与 Reactome 通路富集分析流程,catalog_function,差异表达与 Reactome 通路富集分析流程,基于 limma 包进行两组样本差异表达分析，并使用 ReactomePA 对上下调基因进行通路富集。适用于人类基因表达矩阵（FPKM/TPM），输出差异基因列表及富集结果。
catalog_function:差异表达与GO富集,CatalogFunction|catalog_function,差异表达与GO富集,
catalog_function:差异表达与通路富集,CatalogFunction|catalog_function,差异表达与通路富集,
catalog_function:报告汇总,CatalogFunction|catalog_function,报告汇总,
catalog_function:无监督聚类,CatalogFunction|catalog_function,无监督聚类,
catalog_function:比对参考基因组,CatalogFunction|catalog_function,比对参考基因组,
catalog_function:生存关联分析,CatalogFunction|catalog_function,生存关联分析,
catalog_function:生存分析流程,catalog_function,生存分析流程,基于 WDL 1.0 和 Cromwell 的生存分析流程，用于评估指定基因突变状态与无进展生存期（PFS）的关系。流程整合了突变提取、Log-rank 检验、Kaplan-Meier 曲线绘制及单因素 Cox 回归分析，最终生成汇总报告。
catalog_function:生存曲线与Cox回归,CatalogFunction|catalog_function,生存曲线与Cox回归,
catalog_function:突变景观可视化,CatalogFunction|catalog_function,突变景观可视化,
catalog_function:肿瘤突变负荷生存分析流程,catalog_function,肿瘤突变负荷生存分析流程,从MAF文件和临床数据计算病人级肿瘤突变负荷（TMB），按TMB中位数将病人分为高/低组，进行Kaplan-Meier生存分析和log-rank检验，输出生存曲线、TMB分布图及统计结果表。适用于肿瘤队列的预后分析场景。
catalog_function:质控修剪,CatalogFunction|catalog_function,质控修剪,
catalog_function:质量评估,CatalogFunction|catalog_function,质量评估,
catalog_function:驱动基因性别分层,CatalogFunction|catalog_function,驱动基因性别分层,
catalog_function:驱动基因突变频率性别分层分析,catalog_function,驱动基因突变频率性别分层分析,该流程基于 WES MAF 文件、临床表和 MetaInfo 表，对驱动基因的突变频率进行性别分层分析。通过卡方检验比较男性和女性样本中每个驱动基因的突变率，并输出统计结果表、诊断表及多种可视化图表（分组柱状图、瀑布图、热图、火山图）。
catalog_function:基于 10x Genomics CellRanger 的单细胞 RNA 测序数据分析流程。 包含 FASTQ 质控、序列比对、基因表达定量及结果可视化，适用于 10x Chromium 平台产生的单细胞转录组数据。,CatalogFunction|catalog_function,基于 10x Genomics CellRanger 的单细胞 RNA 测序数据分析流程。 包含 FASTQ 质控、序列比对、基因表达定量及结果可视化，适用于 10x Chromium 平台产生的单细胞转录组数据。,
catalog_function:对聚类分析执行Bootstrap重采样，通过比较不同运行间的ARI/NMI评估聚类稳定性， 统计最佳K的频率，并利用标签置换零分布评估稳定性显著性。 输入为logCPM表达矩阵，输出包含稳定性指标、最佳K频率、置换检验P值及可视化图表。,CatalogFunction|catalog_function,对聚类分析执行Bootstrap重采样，通过比较不同运行间的ARI/NMI评估聚类稳定性， 统计最佳K的频率，并利用标签置换零分布评估稳定性显著性。 输入为logCPM表达矩阵，输出包含稳定性指标、最佳K频率、置换检验P值及可视化图表。,
catalog_function:基于CellChat方法分析乳腺癌单细胞转录组数据中的细胞间通讯网络。输入为Seurat格式的RDS文件，通过比较肿瘤与正常组织中的配体-受体互作，揭示肿瘤微环境中的细胞通讯变化。输出包括通讯网络分析结果、质控报告和运行日志。,CatalogFunction|catalog_function,基于CellChat方法分析乳腺癌单细胞转录组数据中的细胞间通讯网络。输入为Seurat格式的RDS文件，通过比较肿瘤与正常组织中的配体-受体互作，揭示肿瘤微环境中的细胞通讯变化。输出包括通讯网络分析结果、质控报告和运行日志。,
catalog_function:对单细胞RNA-seq数据中指定的细胞类型进行病例-对照差异表达分析。输入为Seurat RDS文件，输出包括差异表达结果、分析摘要、质控报告等。适用于配对或非配对的病例-对照研究设计。,CatalogFunction|catalog_function,对单细胞RNA-seq数据中指定的细胞类型进行病例-对照差异表达分析。输入为Seurat RDS文件，输出包括差异表达结果、分析摘要、质控报告等。适用于配对或非配对的病例-对照研究设计。,
catalog_function:对肿瘤队列的配对肿瘤/正常 WGS 或 WES BAM 运行 CNVkit，生成样本级分段、离散拷贝数、scatter/diagram 图，并可选汇总高频基因 CNV 与临床分期及总生存的探索性关联。输入为样本ID、肿瘤/正常BAM/BAI数组，输出包括CNV分段文件、BED文件、可视化图以及临床关联分析结果。,CatalogFunction|catalog_function,对肿瘤队列的配对肿瘤/正常 WGS 或 WES BAM 运行 CNVkit，生成样本级分段、离散拷贝数、scatter/diagram 图，并可选汇总高频基因 CNV 与临床分期及总生存的探索性关联。输入为样本ID、肿瘤/正常BAM/BAI数组，输出包括CNV分段文件、BED文件、可视化图以及临床关联分析结果。,
catalog_function:整合基因表达矩阵与临床元数据，执行 Cox 比例风险回归分析和 Kaplan-Meier 生存曲线绘制。 支持自定义样本分组、生存时间/状态列映射，输出风险比、P 值及前 N 个显著基因。 适用于癌症预后标志物筛选和临床亚组生存差异分析场景。,CatalogFunction|catalog_function,整合基因表达矩阵与临床元数据，执行 Cox 比例风险回归分析和 Kaplan-Meier 生存曲线绘制。 支持自定义样本分组、生存时间/状态列映射，输出风险比、P 值及前 N 个显著基因。 适用于癌症预后标志物筛选和临床亚组生存差异分析场景。,
catalog_function:对单细胞RNA-seq数据集进行标准化下游分析，包括基因排序、细胞类型注释和恶性细胞标记。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果文件、运行摘要和质量控制报告。,CatalogFunction|catalog_function,对单细胞RNA-seq数据集进行标准化下游分析，包括基因排序、细胞类型注释和恶性细胞标记。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果文件、运行摘要和质量控制报告。,
catalog_function:该流程用于对单细胞RNA-seq数据集进行矩阵注释和细胞类型标注。输入为Seurat RDS格式的整合数据文件，输出包括注释结果压缩包、运行摘要、输入质量控制报告和分析清单等文件。,CatalogFunction|catalog_function,该流程用于对单细胞RNA-seq数据集进行矩阵注释和细胞类型标注。输入为Seurat RDS格式的整合数据文件，输出包括注释结果压缩包、运行摘要、输入质量控制报告和分析清单等文件。,
catalog_function:本流程整合 CNCB 元数据，执行差异表达分析并生成富集分析结果。支持自动样本分组、生存分析关联，输出火山图、热图及富集分析可视化。适用于具有临床元数据的 bulk RNA-seq 数据。,CatalogFunction|catalog_function,本流程整合 CNCB 元数据，执行差异表达分析并生成富集分析结果。支持自动样本分组、生存分析关联，输出火山图、热图及富集分析可视化。适用于具有临床元数据的 bulk RNA-seq 数据。,
catalog_function:本流程整合表达矩阵、样本元数据和临床信息，执行差异表达分析并生成火山图、热图及功能富集分析结果。 支持自动分组识别、生存分析关联，适用于批量 RNA-seq 数据的标准化差异表达与富集分析场景。,CatalogFunction|catalog_function,本流程整合表达矩阵、样本元数据和临床信息，执行差异表达分析并生成火山图、热图及功能富集分析结果。 支持自动分组识别、生存分析关联，适用于批量 RNA-seq 数据的标准化差异表达与富集分析场景。,
catalog_function:本流程用于差异表达基因(DEG)的趋势分析与可视化。输入基因表达矩阵、样本元数据和临床信息，自动完成样本分组、差异分析，并生成火山图、热图、箱线图和趋势图等多种可视化结果。适用于批量 RNA-seq 数据的临床关联分析场景。,CatalogFunction|catalog_function,本流程用于差异表达基因(DEG)的趋势分析与可视化。输入基因表达矩阵、样本元数据和临床信息，自动完成样本分组、差异分析，并生成火山图、热图、箱线图和趋势图等多种可视化结果。适用于批量 RNA-seq 数据的临床关联分析场景。,
catalog_function:基于基因表达矩阵和临床元数据生成箱线图、火山图、热图等可视化结果。支持从 CNCB 原生格式元数据自动映射样本分组信息，可整合生存分析和肿瘤分期数据。适用于 bulk RNA-seq 数据的探索性可视化分析。,CatalogFunction|catalog_function,基于基因表达矩阵和临床元数据生成箱线图、火山图、热图等可视化结果。支持从 CNCB 原生格式元数据自动映射样本分组信息，可整合生存分析和肿瘤分期数据。适用于 bulk RNA-seq 数据的探索性可视化分析。,
catalog_function:本流程基于limma moderated t统计量构建全基因排序，使用fgseaMultilevel执行预排序GSEA。 输入为表达矩阵和样本元数据，输出包括通路富集结果、显著通路、排序基因列表及可视化图表。 适用于病例-对照转录组比较分析，支持协变量校正和配对设计。,CatalogFunction|catalog_function,本流程基于limma moderated t统计量构建全基因排序，使用fgseaMultilevel执行预排序GSEA。 输入为表达矩阵和样本元数据，输出包括通路富集结果、显著通路、排序基因列表及可视化图表。 适用于病例-对照转录组比较分析，支持协变量校正和配对设计。,
