function,description
质控修剪,对FASTQ进行质量质控、接头修剪、低质量序列修剪及UMI提取
质量评估,对测序数据进行质量评估，包括GC分布、接头污染、重复序列等检测
比对参考基因组,将DNA reads比对至参考基因组，支持bwa-mem/mem2/backtrack三种模式
BAM处理与排序,BAM文件的排序、索引、统计、去重、格式互转及测序深度计算
变异检测与校正,对BAM进行碱基质量校正，并进行体细胞/胚系变异检测及CNV分析
VCF过滤与标准化,对VCF文件进行过滤、标准化、索引、统计及样本拆分合并
变异功能注释,对变异进行功能注释及致病性分级（LoF/错义/同义）
RNA接头修剪,对RNA-seq FASTQ进行接头修剪、低质量修剪及末端N碱基切除
RNA剪接比对,RNA-seq剪接比对、去rRNA、融合基因检测及UMI去重
基因定量,对基因及转录本异构体进行定量，输出Count/TPM/FPKM及置信区间
基因水平计数,在基因或外显子/启动子水平进行计数，支持链特异性和多样本批量
报告汇总,汇总全流程质控报告，支持多样本横向对比和异常样本高亮
差异表达与GO富集,进行差异基因分析及GO功能富集，上下调基因分别富集
差异表达与通路富集,进行差异表达分析及Reactome通路富集
驱动基因性别分层,对驱动基因突变频率进行性别分层统计，含卡方检验及多图可视化
生存关联分析,分析基因表达与PFS的关联，绘制KM曲线并进行Logrank检验
免疫浸润估计,利用CIBERSORT估计免疫细胞浸润比例及肿瘤微环境分析
FASTQ转uBAM,将双端FASTQ转为uBAM并添加Read Group信息，适配GATK流程
无监督聚类,基于高变基因进行PCA降维、高斯混合模型聚类及Bootstrap稳定性评估
生存曲线与Cox回归,分析基因突变与生存关联，含Log-rank检验、KM曲线及单因素Cox回归
TMB与生存分析,计算TMB并进行高低分组，结合KM生存分析和Log-rank检验
突变景观可视化,绘制体细胞突变Oncoplot，统计突变类型分布及样本突变负荷
加权共表达网络,构建加权共表达网络，识别模块、关联模块-性状并筛选hub基因
