tool_id,tool_name,function,semantic_input,输入格式,semantic_output,输出格式,下游工具,适用组学
T001,fastp,对双端测序FASTQ文件进行质量过滤、接头修剪和质控报告生成。输入为样本ID和双端FASTQ文件，输出为修剪后的FASTQ文件以及HTML和JSON格式的质控报告。适用于WES等双端测序数据的预处理步骤。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ,FASTQ,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; QC_STATS_REPORT,"FASTQ, HTML, JSON",fastp,WES
T002,fastqc,对输入的 FASTQ 文件进行质量评估，生成 HTML 和 ZIP 格式的 FastQC 报告。 适用于 WES、WGS、RNA-seq 和单细胞测序等多种测序数据类型，可接收原始或修剪后的 FASTQ 文件。,RAW_SINGLE_END_FASTQ,FASTQ,RAW_SINGLE_END_FASTQ,"HTML, ZIP",FastQC,"sc-RNA, WGS, WES, RNA"
T003,cellranger_workflow,基于 10x Genomics CellRanger 的单细胞 RNA 测序数据分析流程。 包含 FASTQ 质控、序列比对、基因表达定量及结果可视化，适用于 10x Chromium 平台产生的单细胞转录组数据。,RAW_SINGLE_END_FASTQ; DNA_GENOMIC_ALIGNMENT_BAM,"FASTQ, FASTA, GTF",QC_STATS_REPORT; TABULAR_BIO_DATA; DNA_GENOMIC_ALIGNMENT_BAM,"HTML, H5, CLOUPE, BAM, CSV","FastQC, CellRanger","sc-RNA, RNA"
T004,trim_galore,基于 Trim Galore 工具的 FASTQ 文件接头修剪与质量控制流程。支持单端和双端测序数据，可指定接头序列，输出修剪后的 FASTQ 文件和修剪报告。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ,FASTQ,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; QC_STATS_REPORT,"FASTQ, TXT","STAR, FastQC, Trim Galore",RNA
T005,star,该流程使用 STAR 比对工具对 RNA-seq 数据进行 rRNA 去除和基因组比对。流程包含两个步骤：首先将 reads 比对到 rRNA 参考索引以去除 rRNA 污染，然后将未比对的 reads 比对到基因组参考索引，输出未排序的基因组 BAM、转录组 BAM、基因计数文件和日志。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; REFERENCE_GENOME_FASTA,FASTQ,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; DNA_GENOMIC_ALIGNMENT_BAM; RNA_TRANSCRIPTOME_ALIGNMENT_BAM; REFERENCE_GENOME_FASTA,"FASTQ, OUT, BAM, TAB",STAR,RNA
T006,bwa,基于 BWA-MEM 算法的双端测序比对流程。输入为 R1/R2 FASTQ 文件和样本 ID， 输出为未排序的 SAM 文件及 BWA 运行日志。适用于全外显子组测序数据的比对步骤， 后续需配合 SAMtools 完成排序和索引。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; REFERENCE_GENOME_FASTA,FASTQ,DNA_GENOMIC_ALIGNMENT_BAM,"SAM, LOG","BWA-MEM, BWA",WES
T007,samtools,基于SAMtools工具集的比对后处理流程，支持对BAM文件进行排序、索引、去重及多种比对统计。 适用于WES/WGS和RNA-seq数据，通过remove_duplicates参数切换普通排序/去重模式。,DNA_GENOMIC_ALIGNMENT_BAM,BAM,DNA_GENOMIC_ALIGNMENT_BAM; QC_STATS_REPORT,"BAM, BAI, TXT",SAMtools,"WGS, WES, RNA"
T008,gatk,基于 GATK 最佳实践的全外显子组（WES）肿瘤-正常配对体细胞变异检测流程。 流程对肿瘤和正常样本分别进行 MarkDuplicates 标记重复、BaseRecalibrator 碱基质量校正， 然后使用 Mutect2 进行体细胞变异检测，并通过 FilterMutectCalls 进行过滤， 同时评估样本污染和构建读段方向偏倚模型。,DNA_GENOMIC_ALIGNMENT_BAM; TARGET_INTERVAL_LIST; REFERENCE_GENOME_FASTA,"BAM, BAI, INTERVAL_LIST",DNA_GENOMIC_ALIGNMENT_BAM; QC_STATS_REPORT; DNA_VARIANT_VCF_GENERAL; DNA_VARIANT_INDEX_TBI,"BAM, BAI, TXT, TABLE, VCF, TBI, TAR",Mutect2,WES
T009,bcftools,对 GATK 过滤后的体细胞 VCF 文件进行后处理，包括提取 PASS 位点、基于参考基因组进行左对齐和拆分多等位基因位点、建立 Tabix 索引，并生成详细的 QC 统计文件（记录数、SNP/Indel 计数、FILTER 分布、DP/AF 等）。输出可直接用于 SnpEff 注释。,DNA_VARIANT_VCF_GENERAL; DNA_VARIANT_INDEX_TBI; REFERENCE_GENOME_FASTA,"TBI, VCF, FASTA",DNA_VARIANT_VCF_GENERAL; DNA_VARIANT_INDEX_TBI; TABULAR_BIO_DATA,"VCF, TBI","GATK, SnpEff, BCFtools",WES
T010,snpeff,基于 SnpEff 工具对 VCF 文件进行变异效应注释的独立流程。输入为未压缩或压缩的 VCF 文件，输出包含注释后的 VCF、HTML/CSV 格式的统计报告以及运行日志。适用于 WES/WGS 体细胞或胚系突变的生物学效应预测。,DNA_VARIANT_VCF_GENERAL; REFERENCE_GENOME_FASTA,VCF,DNA_VARIANT_VCF_GENERAL; QC_STATS_REPORT,"VCF, HTML, CSV, LOG",SnpEff,"WGS, WES"
