identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target
io_slot:bcftools::input::unfiltered_vcf,IOSlot|io_slot,sister-tool-csv,Unfiltered VCF,input,,true,bcftools::input::unfiltered_vcf,unfiltered_vcf,bcftools,,File,,,,,,
io_slot:bcftools::output::filtered_vcf,IOSlot|io_slot,sister-tool-csv,Filtered (PASS) VCF,output,,false,bcftools::output::filtered_vcf,filtered_vcf,bcftools,,File,,,,,,
io_slot:bwa::input::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,input,,false,bwa::input::clean_fastq_read,clean_fastq_read,bwa,clean_fastq_read,File,mate,r1,,clean_fastq_read_r1,,
io_slot:bwa::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,bwa::input::genome_annotation,genome_annotation,bwa,,File,,,,,,
io_slot:bwa::output::aligned_bam,IOSlot|io_slot,bam-artifact-contract-fix-2026-07-22,Aligned SAM/BAM,output,,false,bwa::output::aligned_bam,aligned_bam,bwa,,File,,,,,,
io_slot:diff_expr_go::in::expression,io_slot,,FPKM or TPM gene-by-sample matrix; group sample arrays and quant_type parameters are also required,input,,true,diff_expr_go::in::expression,expression_matrix,diff_expr_go,,File,,,,,expression_matrix,DiffExprGoWorkflow.expression_matrix
io_slot:diff_expr_go::out::differential,io_slot,,Differential expression and regulated gene tables,output,,false,diff_expr_go::out::differential,differential_expression,diff_expr_go,,File,,,,,,
io_slot:diff_expr_go::out::enrichment,io_slot,,GO MF CC and BP enrichment tables,output,,false,diff_expr_go::out::enrichment,go_enrichment,diff_expr_go,,File,,,,,,
io_slot:diff_expr_kegg::in::expression,io_slot,,FPKM or TPM gene-by-sample matrix; workflow actually performs Reactome enrichment,input,,true,diff_expr_kegg::in::expression,expression_matrix,diff_expr_kegg,,File,,,,,expression_matrix,DiffExprKeggWorkflow.expression_matrix
io_slot:diff_expr_kegg::out::differential,io_slot,,Differential expression and regulated gene tables,output,,false,diff_expr_kegg::out::differential,differential_expression,diff_expr_kegg,,File,,,,,,
io_slot:diff_expr_kegg::out::enrichment,io_slot,,Reactome pathway enrichment tables,output,,false,diff_expr_kegg::out::enrichment,reactome_enrichment,diff_expr_kegg,,File,,,,,,
io_slot:driver_gene_gender_analysis::in::clinical,io_slot,,Clinical table containing individual accession and gender,input,,true,driver_gene_gender_analysis::in::clinical,clinical_table,driver_gene_gender_analysis,,File,,,,,clinical_xls,driver_gene_gender_analysis.clinical_xls
