identity,labels,function,description
function:BAM处理与排序,Function|function,BAM处理与排序,
function:FASTQ转uBAM,Function|function,FASTQ转uBAM,
function:HER2 表达与无进展生存期分析,function,HER2 表达与无进展生存期分析,基于 TPM 表达矩阵、临床信息及样本元信息，分析特定基因（默认 HER2）表达水平与无进展生存期（PFS）的关联。流程自动匹配样本 accession，执行 Winsorizing 处理，生成 KM 生存曲线、Logrank 统计量及质量控制报告。
function:RNA-seq FASTQ 完整上游分析,Function|function,RNA-seq FASTQ 完整上游分析,
function:RNA-seq 无监督聚类分析流程,function,RNA-seq 无监督聚类分析流程,本流程针对 RNA-seq count 矩阵进行无监督聚类分析，涵盖数据预处理、高变基因筛选、PCA 降维及高斯混合模型聚类。同时通过 Bootstrap 重采样评估聚类稳定性并计算显著性 P 值，适用于无样本元数据场景的探索性分析。
function:RNA剪接比对,Function|function,RNA剪接比对,
function:RNA接头修剪,Function|function,RNA接头修剪,
function:TMB与生存分析,Function|function,TMB与生存分析,
function:VCF过滤与标准化,Function|function,VCF过滤与标准化,
function:WES 体细胞突变 MAF 景观分析流程,function,WES 体细胞突变 MAF 景观分析流程,本流程用于全外显子测序（WES）队列的体细胞突变景观分析。输入标准 MAF 文件，经过滤处理后绘制 Top N 突变基因 Oncoplot 及突变类型分布图。适用于癌症基因组学中的突变谱可视化与总结。
function:WGCNA 加权基因共表达网络分析,function,WGCNA 加权基因共表达网络分析,基于基因表达矩阵和临床表型数据执行 WGCNA 共表达网络分析，包括样本 QC、模块识别、模块 - 性状关联、hub 基因筛选及 bootstrap 稳定性评估。适用于转录组数据的系统性分析，输出模块划分结果、关键 hub 基因列表及功能富集分析结果。
function:免疫浸润估计,Function|function,免疫浸润估计,
function:免疫浸润分析 (IOBR CIBERSORT),function,免疫浸润分析 (IOBR CIBERSORT),基于 IOBR 包的 CIBERSORT 算法进行免疫细胞浸润分析流程。输入基因表达 TPM 矩阵、临床信息和样本元数据，输出免疫细胞比例估计、可靠性评估及可视化图表。适用于批量 RNA-seq 数据的肿瘤微环境免疫细胞组成分析。
function:加权共表达网络,Function|function,加权共表达网络,
function:双端 FASTQ 转未比对 BAM,function,双端 FASTQ 转未比对 BAM,将双端 FASTQ 测序数据转换为未比对的 BAM 文件 (uBAM)，并添加完整的 Read Group 信息。适用于 GATK 最佳实践流程的起始步骤，输出可用于后续变异检测流程的标准化 BAM 文件。
function:变异功能注释,Function|function,变异功能注释,
function:变异检测与校正,Function|function,变异检测与校正,
function:基因定量,Function|function,基因定量,
function:基因水平计数,Function|function,基因水平计数,
function:差异表达与 GO 富集分析,function,差异表达与 GO 富集分析,基于表达矩阵进行差异基因分析（limma）并针对上下调基因分别进行 GO 功能富集（clusterProfiler）。适用于 FPKM/TPM 定量数据的两组比较场景，输出差异基因列表及 GO 富集结果表。
function:差异表达与 Reactome 通路富集分析流程,function,差异表达与 Reactome 通路富集分析流程,基于 limma 包进行两组样本差异表达分析，并使用 ReactomePA 对上下调基因进行通路富集。适用于人类基因表达矩阵（FPKM/TPM），输出差异基因列表及富集结果。
function:差异表达与GO富集,Function|function,差异表达与GO富集,
function:差异表达与通路富集,Function|function,差异表达与通路富集,
function:报告汇总,Function|function,报告汇总,
function:无监督聚类,Function|function,无监督聚类,
function:比对参考基因组,Function|function,比对参考基因组,
function:生存关联分析,Function|function,生存关联分析,
function:生存分析流程,function,生存分析流程,基于 WDL 1.0 和 Cromwell 的生存分析流程，用于评估指定基因突变状态与无进展生存期（PFS）的关系。流程整合了突变提取、Log-rank 检验、Kaplan-Meier 曲线绘制及单因素 Cox 回归分析，最终生成汇总报告。
function:生存曲线与Cox回归,Function|function,生存曲线与Cox回归,
function:突变景观可视化,Function|function,突变景观可视化,
function:肿瘤突变负荷生存分析流程,function,肿瘤突变负荷生存分析流程,从MAF文件和临床数据计算病人级肿瘤突变负荷（TMB），按TMB中位数将病人分为高/低组，进行Kaplan-Meier生存分析和log-rank检验，输出生存曲线、TMB分布图及统计结果表。适用于肿瘤队列的预后分析场景。
function:质控修剪,Function|function,质控修剪,
function:质量评估,Function|function,质量评估,
function:驱动基因性别分层,Function|function,驱动基因性别分层,
function:驱动基因突变频率性别分层分析,function,驱动基因突变频率性别分层分析,该流程基于 WES MAF 文件、临床表和 MetaInfo 表，对驱动基因的突变频率进行性别分层分析。通过卡方检验比较男性和女性样本中每个驱动基因的突变率，并输出统计结果表、诊断表及多种可视化图表（分组柱状图、瀑布图、热图、火山图）。
